price,area,bedrooms,bathrooms,location,city,property_type,built_year,parking_spaces,servant_quarters,store_rooms,kitchens,drawing_rooms,property_url
85 Lakh,5 Marla,2 Beds,2 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,,,0,,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_7_oleander_b_sector-54254527-22460-1.html
9.5 Crore,10 Marla,5 Beds,6 Baths,"F-11, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,2,1,1,1,1,https://www.zameen.com/Property/islamabad_f-11_house_for_sale_in_f-11-53341779-163-1.html
17 Crore,1 Kanal,8 Beds,6 Baths,"E-11, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,5,1,1,1,1,https://www.zameen.com/Property/islamabad_e-11_triple_story_e-11_main_double_house_for_sale-53637335-329-1.html
7.3 Crore,8 Marla,5 Beds,6 Baths,"E-11, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,2,2,1,1,1,https://www.zameen.com/Property/islamabad_e-11_designer_house_for_sale_e-_11-54206366-329-1.html
11.5 Crore,1 Kanal,6 Beds,7 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,1,1,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_beautiful_design_bungalow_up_for_sale-54255049-339-1.html
12.75 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,1,1,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_most_beautiful_design_of_1_kanal_house_up_for_sale-54255011-339-1.html
2.95 Crore,6.7 Marla,4 Beds,6 Baths,"Soan Garden, Islamabad, Islamabad Capital",Islamabad,House,Floors: 2,2,,1,1,1,https://www.zameen.com/Property/islamabad_soan_garden_brand_new_double_storey_house_available_for_sale_in_soan_garden_islamabad-51874408-338-1.html
2.9 Crore,6 Marla,4 Beds,6 Baths,"Soan Garden, Islamabad, Islamabad Capital",Islamabad,House,Floors: 2,2,,1,1,1,https://www.zameen.com/Property/soan_garden_soan_garden_-_block_h_6_marla_brand_new_house_available_for_sale_in_soan_garden_islamabad-53759062-3498-1.html
2.8 Crore,6 Marla,4 Beds,6 Baths,"Soan Garden, Islamabad, Islamabad Capital",Islamabad,House,Floors,2,,1,3,1,https://www.zameen.com/Property/soan_garden_soan_garden_-_block_h_6_marla_brand_new_double_storey_house_for_sale_in_soan_garden_housing_society_h_block_prime_location_on_islamabad_expressway-53832440-3498-1.html
24.9 Crore,2.5 Kanal,7 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,6,2,2,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_ultra_modern_designer_2_5_kanal_mansion_with_a_quality_construction_wide_street-52366347-339-1.html
12.75 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,1,1,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_brand_new_fully_furnished_ultra_modern_mansion_in_dha-2-52381835-339-1.html
5.5 Crore,10 Marla,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,1,2,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_brand_new_stunning_designer_a_quality_masterpiece_at_prime_location_of_zaraj-52405866-339-1.html
2.6 Crore,5 Marla,3 Beds,4 Baths,"B-17, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,1,1,1,1,1,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_f_5_marla_25x50_ultra_luxury_hybrid_unit_house_for_sale_in_mpchs_multi_garden_b17_islamabad-54253369-8527-1.html
5.1 Crore,10 Marla,5 Beds,6 Baths,"Top City 1, Islamabad, Islamabad Capital",Islamabad,House,Furnished,,1,1,1,1,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_d_10_marla_brand_new_house_for_sale_in_top_city-1_islamabad-53681427-9233-1.html
10.5 Crore,1 Kanal,6 Beds,6 Baths,"B-17, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,1,1,1,1,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_c_1_kanal_50x90_ultra_luxury_designer_corner_house_for_sale_in_block_c_mpchs_multi_garden_b-17_islamabad-54194131-3118-1.html
4 Crore,10 Marla,5 Beds,6 Baths,"Top City 1, Islamabad, Islamabad Capital",Islamabad,House,,Other Main Features,1,1,1,1,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_a_affordable_house_for_sale_in_top_city_1_-_block_a-53648777-9231-1.html
4.95 Crore,10 Marla,6 Beds,6 Baths,"Top City 1, Islamabad, Islamabad Capital",Islamabad,House,Furnished,,1,,2,1,https://www.zameen.com/Property/islamabad_top_city_1_main_boulevard_house_for_sale-53705640-1383-1.html
42 Crore,1.3 Kanal,5 Beds,7 Baths,"F-11, Islamabad, Islamabad Capital",Islamabad,House,Furnished,,1,1,1,1,https://www.zameen.com/Property/islamabad_f-11_f-11_margalla_road_666_yards_newly_built_modern_house_front_open_5_bedrooms_swimming_pool_gymnasium_prime_location_price_42_crores-54210718-163-1.html
1.55 Crore,8 Marla,3 Beds,3 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,,1,1,1,1,https://www.zameen.com/Property/dha_valley_oleander_sector_oleander_sector_-_block_a_8_marla_dha_home_oleander_a_block-53367072-16476-1.html
1.59 Crore,8 Marla,3 Beds,3 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,2,1,1,1,1,https://www.zameen.com/Property/dha_valley_lilly_sector_lilly_sector_-_dha_homes_luxury_8_marla_house_for_sale_double_storey_2_terraces_servant_quarter-53443796-16826-1.html
1.6 Crore,8 Marla,3 Beds,3 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,2,1,1,1,1,https://www.zameen.com/Property/dha_valley_dha_valley_-_lilly_sector_beautiful_8_marla_double-storey_villa_3_bedrooms_garden_servant_room-53445557-3214-1.html
3.5 Crore,8 Marla,4 Beds,5 Baths,"B-17, Islamabad, Islamabad Capital",Islamabad,House,Waste Disposal,2,,,,,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_c_3060_designer_house_for_sale-53414790-3118-1.html
1.75 Arab,4 Kanal,-,-,"F-7, Islamabad, Islamabad Capital",Islamabad,House,,,,,,1,https://www.zameen.com/Property/islamabad_f-7_prime_2000_sq_yards_house_with_4_kanal_extra_land_nearly_8_kanal_total_f-7_islamabad-53998467-165-1.html
15 Crore,1.6 Kanal,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,1,2,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_32_marla_ultra_luxury_royal-themed_house_for_sale_in_dha_phase_2_islamabad_where_elegance_meets_grandeur_a_true_palace_for_modern_royalty-54151833-339-1.html
1.7 Crore,8 Marla,3 Beds,3 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Floors: 02,04,,,,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_7_oleander_sector_a-54240781-22460-1.html
2.5 Crore,10 Marla,5 Beds,6 Baths,"Bani Gala, Islamabad, Islamabad Capital",Islamabad,House,Furnished,2,1,1,1,1,https://www.zameen.com/Property/islamabad_bani_gala_10_marla_newly_built_house_for_sale_in_bani_gala-53421452-340-1.html
67 Crore,1.9 Kanal,5 Beds,5 Baths,"E-7, Islamabad, Islamabad Capital",Islamabad,House,Floors: 2,5,2,,2,1,https://www.zameen.com/Property/islamabad_e-7_prime_location_5_bedroom_liveable_house-54252047-343-1.html
4 Crore,5 Marla,6 Beds,6 Baths,"B-17, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,5,2,2,2,1,https://www.zameen.com/Property/b_17_mpchs_-_multi_gardens_corner_5_marla_designer_house_for_sale_in_fmc_adjacent_to_b17_c1_block-52984851-3115-1.html
17 Crore,2 Kanal,6 Beds,6 Baths,"Kashmir Highway, Islamabad, Islamabad Capital",Islamabad,House,Furnished,,1,1,1,1,https://www.zameen.com/Property/kashmir_highway_eighteen_2_kanal_luxury_premium_villa_in_eighteen_islamabad_available_for_sale-54155421-12602-1.html
10 Crore,1 Kanal,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,2,2,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_luxury_double_unit_designer_kanal_bungalow-52443980-339-1.html
15.5 Crore,1 Kanal,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,2,2,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_brand_new_ultra_modern_corner_mansion_with_swimming_pool_and_elevator_a_quality_construction-52629225-339-1.html
12.49 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,1,2,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_ultra_modern_a_kanal_mansion_with_maze-9_theme_lounge_and_aesthetic_designs_and_imported_appliances-53228424-339-1.html
12.9 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,1,2,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_brand_new_ultra_modern_designer_mansion_at_prime_location_house_for_sale-54066975-339-1.html
13.5 Crore,1 Kanal,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,1,1,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_aesthetic_design_corner_bungalow_on_prime_location_up_for_sale-54254980-339-1.html
11.25 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,2,2,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_brand_new_designer_single_unit_5_bed_prime_location_mansion-54108880-339-1.html
14 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,1,,1,1,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_beautiful_house_for_sale_in_dha_phase_2_islamabad-54150559-339-1.html
14.5 Crore,1 Kanal,5 Beds,-,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,1,1,,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_designer_house_for_sale_near_giga_mall-54120620-339-1.html
22.25 Crore,1 Kanal,5 Beds,6 Baths,"F-8, Islamabad, Islamabad Capital",Islamabad,House,,,,,,,https://www.zameen.com/Property/islamabad_f-8_investor_rate_50x90_house_in_prime_f-8-53612568-166-1.html
41.5 Crore,1 Kanal,6 Beds,7 Baths,"F-8, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,,1,1,1,1,https://www.zameen.com/Property/islamabad_f-8_brand_new_triple-storey_designer_house_for_sale_in_f-8-53492540-166-1.html
24 Crore,1 Kanal,4 Beds,5 Baths,"F-8, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,,1,1,1,1,https://www.zameen.com/Property/islamabad_f-8_old_house_is_for_sale_in_f-8-53612669-166-1.html
11.5 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,1,2,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_brand_new_architecture_kanal_mansion_at_prime_location-52379201-339-1.html
6.95 Crore,10 Marla,4 Beds,4 Baths,"Top City 1, Islamabad, Islamabad Capital",Islamabad,House,,,,,1,1,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_d_get_in_touch_now_to_buy_a_10_marla_house_in_top_city_1_-_block_d-54226149-9233-1.html
21.9 Crore,1.2 Kanal,5 Beds,6 Baths,"F-10, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,10,1,2,1,1,https://www.zameen.com/Property/islamabad_f-10_f_10_house_available_600_square_yards_with_1_kanal_extra_land_close_and_street-54120823-162-1.html
1.4 Arab,5 Kanal,10 Beds,6 Baths,"F-6, Islamabad, Islamabad Capital",Islamabad,House,Furnished,15,2,2,2,1,https://www.zameen.com/Property/f_6_f-6_3_f_6_2_proper_corner_house_available_2500_square_yards_close_and_street_near_to_margla_road-54022921-3301-1.html
1.75 Arab,8 Kanal,8 Beds,6 Baths,"F-7, Islamabad, Islamabad Capital",Islamabad,House,Furnished,20,3,2,2,1,https://www.zameen.com/Property/islamabad_f-7_f_7_main_margla_road_house_available_2000_square_yards_100_180_with_4_kanal_extra_land-53938009-165-1.html
4.25 Crore,8 Marla,6 Beds,6 Baths,"Kuri Road, Islamabad, Islamabad Capital",Islamabad,House,,,,,1,,https://www.zameen.com/Property/kuri_road_phaf_officers_residencia_deziner_house_available_for_sale_in_pha_officer_residenshia_kurii_road_islamabad-54181129-13099-1.html
5.25 Crore,6.7 Marla,5 Beds,6 Baths,"I-10, Islamabad, Islamabad Capital",Islamabad,House,Floors: 2,,,,1,1,https://www.zameen.com/Property/islamabad_i-10_i-10_2_25x60_brand_new_house_for_sale_out_class_construction-53607151-173-1.html
9 Crore,1 Kanal,6 Beds,6 Baths,"Top City 1, Islamabad, Islamabad Capital",Islamabad,House,,,,,1,1,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_b_buying_a_house_in_top_city_1_-_block_b_islamabad-54218677-9230-1.html
4.85 Crore,10 Marla,5 Beds,5 Baths,"Top City 1, Islamabad, Islamabad Capital",Islamabad,House,,,,1,1,1,https://www.zameen.com/Property/islamabad_top_city_1_house_of_10_marla_is_available_for_sale_in_top_city_1-54218681-1383-1.html
7.5 Crore,1 Kanal,5 Beds,5 Baths,"Kashmir Highway, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,1,1,2,1,https://www.zameen.com/Property/kashmir_highway_eighteen_1_kanal_luxury_premium_villa_in_eighteen_islamabad_for_sale-54155365-12602-1.html
4.8 Crore,13.3 Marla,4 Beds,5 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,1,1,1,2,1,https://www.zameen.com/Property/dha_defence_phase_5_dha_phase_5_-_sector_f_excelleny_house_for_sale_size_5_1_marla-54119211-8836-1.html
12 Crore,1 Kanal,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,1,2,1,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_beautiful_one_kanal_house_for_sale_sector_g_dha_2_islamabad-54161765-339-1.html
6.5 Crore,10 Marla,7 Beds,7 Baths,"Gulberg, Islamabad, Islamabad Capital",Islamabad,House,Furnished,2,1,1,2,10,https://www.zameen.com/Property/gulberg_residencia_gulberg_residencia_-_block_i_i_block_10_marla_prime_location_brand_new_house_for_sale_gulberg_residencia_block_i-54158832-9119-1.html
12 Crore,10.6 Marla,6 Beds,6 Baths,"G-10, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,,,,,,https://www.zameen.com/Property/g_10_g-10_2_brand_new_house_available_for_sale_in_sector_g-10_2_islamabad-54032130-3325-1.html
8.5 Crore,1 Kanal,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,2,2,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_brand_new_double_unit_designer_6_bed_house_at_prime_location-54108915-339-1.html
11.5 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,,2,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_beautiful_house_for_sale_in_dha_phase_2_islamabad-54152159-339-1.html
12 Crore,1 Kanal,6 Beds,7 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Floors: 2,,,,1,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_corner_house_available_for_sale_at_dha_2-54105181-339-1.html
9.15 Crore,1 Kanal,7 Beds,7 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,2,2,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_beautiful_house_for_sale_in_dha_phase_2_islamabad-54162412-339-1.html
1.5 Crore,5 Marla,3 Beds,4 Baths,"Park View City, Islamabad, Islamabad Capital",Islamabad,House,Furnished,2,1,1,1,1,https://www.zameen.com/Property/park_view_city_park_view_city_-_overseas_block_05_marla_gray_structure_house_for_sale_in_park_view_city_islamabad-53852444-19666-1.html
9.9 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,2,2,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_brand_new_luxury_home_dha_phase_2-54137804-339-1.html
3.15 Crore,5 Marla,5 Beds,6 Baths,"B-17, Islamabad, Islamabad Capital",Islamabad,House,Floors: 3,1,1,1,2,2,https://www.zameen.com/Property/b_17_faisal_margalla_city_5_marla_triple_storey_double_unit_house_for_sale_in_faisal_margala_city_b-17_islamabad-54254898-13424-1.html
5.8 Crore,13 Marla,5 Beds,5 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,,1,,1,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_3_dha_phase_3_brand_new_house_for_sale_brand_new_a_quality-54192046-8412-1.html
13 Crore,16 Marla,9 Beds,7 Baths,"E-11, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,,1,1,3,1,https://www.zameen.com/Property/islamabad_e-11_for_sale_40x90_renovated_triple_storey_9_beds_e_11_2-54183372-329-1.html
3.15 Crore,7 Marla,4 Beds,5 Baths,"FECHS, Islamabad, Islamabad Capital",Islamabad,House,Waste Disposal,1,,,,,https://www.zameen.com/Property/jinnah_gardens_jinnah_gardens_phase_1_jinnah_garden_phase_1_7_marla_house_for_sale-54052944-1421-1.html
10.5 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Floors: 2,3,1,2,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_brand_new_1_kanal_modern_contemporary_luxury_house_for_sale_dha_2-54250135-339-1.html
8.5 Crore,1 Kanal,8 Beds,7 Baths,"Top City 1, Islamabad, Islamabad Capital",Islamabad,House,Furnished,,1,1,02,01,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_b_20_marla_brand_new_house_for_sale_in_topcity-1_islamabad-53751527-9230-1.html
14.9 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,2,2,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_dha_2_one_kanal_brand_new_corner_house_on_main_boulevard_with_swimming_pool-53966465-339-1.html
4.4 Crore,7 Marla,5 Beds,5 Baths,"Gulberg, Islamabad, Islamabad Capital",Islamabad,House,Furnished,2,1,1,1,1,https://www.zameen.com/Property/gulberg_residencia_gulberg_residencia_-_block_i_brand_new_7_marla_luxury_double_story_house_for_sale_in_gulberg_residencia-54164037-9119-1.html
2.32 Crore,5 Marla,4 Beds,4 Baths,"B-17, Islamabad, Islamabad Capital",Islamabad,House,Furnished,1,1,1,1,1,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_c1_5_marla_house_for_sale_available_in_b-17-54152881-12607-1.html
1.4 Crore,5 Marla,3 Beds,4 Baths,"Bani Gala, Islamabad, Islamabad Capital",Islamabad,House,Furnished,1,,,1,1,https://www.zameen.com/Property/islamabad_bani_gala_brand_new_1_5_storey_house_for_sale_in_bani_gala-53774818-340-1.html
3.85 Crore,11 Marla,3 Beds,4 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,4,2,2,2,1,https://www.zameen.com/Property/dha_phase_1_sector_f_dha_phase_1_-_defence_villas_dha_phase_1_sector_f_defence_villa_for_sale-52093852-3075-1.html
52 Crore,2.1 Kanal,8 Beds,7 Baths,"F-7, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,6,2,2,2,1,https://www.zameen.com/Property/islamabad_f-7_prime_location_house_1066sqyds_size_80x120_cda_transfer_two_owners--54150880-165-1.html
3.8 Crore,7 Marla,4 Beds,4 Baths,"Gulberg, Islamabad, Islamabad Capital",Islamabad,House,Furnished,2,2,2,2,1,https://www.zameen.com/Property/gulberg_residencia_gulberg_residencia_-_block_l_house_for_sale_corner_7_marla_block_l-54254563-9122-1.html
12.45 Crore,1 Kanal,6 Beds,6 Baths,"Bahria Town, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,1,,1,1,https://www.zameen.com/Property/bahria_town_bahria_enclave_1_kanal_designer_house_for_sale_in_bahria_enclave_islamabad_sector_c_main_boulevard_margalla_facing-53310496-1705-1.html
10 Crore,1 Kanal,10 Beds,6 Baths,"B-17, Islamabad, Islamabad Capital",Islamabad,House,Furnished,,,,10,,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_b_main_double_road-54004307-3117-1.html
28 Crore,2 Kanal,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,4,2,1,3,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_an_exclusive_2_kanal_fully_furnished_modern_house_will_be_available_for_sale_within_this_month-54225791-339-1.html
2.7 Crore,5 Marla,3 Beds,5 Baths,"Bahria Town, Islamabad, Islamabad Capital",Islamabad,House,Furnished,1,1,1,1,1,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_5_marla_beautiful_house_for_sale_sector_n-53855481-11975-1.html
5.8 Crore,10.5 Marla,5 Beds,7 Baths,"Bahria Town, Islamabad, Islamabad Capital",Islamabad,House,Floors: 2,2,1,1,1,1,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_m_semi-corner_10_5_marla_house_with_10_marla_green_belt-54224075-11977-1.html
2 Crore,5 Marla,4 Beds,6 Baths,"Bani Gala, Islamabad, Islamabad Capital",Islamabad,House,,,,1,20000000,1,https://www.zameen.com/Property/islamabad_bani_gala_double_storey_house_for_sale_in_bani_gala-54189087-340-1.html
15 Crore,1 Kanal,9 Beds,6 Baths,"E-11, Islamabad, Islamabad Capital",Islamabad,House,Furnished,6,3,3,3,1,https://www.zameen.com/Property/e_11_e-11_3_traple_story_house_for_sale_e_11_3-52770423-3238-1.html
7.2 Crore,8 Marla,5 Beds,5 Baths,"E-11, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,2,1,1,1,1,https://www.zameen.com/Property/islamabad_e-11_brand_new_house_for_sale_in_e-11_2-53117154-329-1.html
27.5 Crore,1.2 Kanal,6 Beds,6 Baths,"F-8, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,4,3,1,2,1,https://www.zameen.com/Property/f_8_f-8_3_investor_price_house_for_sale_in_f-8-53436899-3316-1.html
22.5 Crore,1.1 Kanal,3 Beds,3 Baths,"F-6, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,4,1,1,1,1,https://www.zameen.com/Property/islamabad_f-6_demolish_able_house_for_sale_in_f-6-53768754-164-1.html
11.5 Crore,10 Marla,6 Beds,6 Baths,"D-12, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,2,1,1,2,2,https://www.zameen.com/Property/islamabad_d-12_brand_new_house_for_sale_in_d-12-53974465-160-1.html
5.5 Crore,6 Marla,4 Beds,4 Baths,"E-11, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,1,10,1,1,1,https://www.zameen.com/Property/islamabad_e-11_double_story_house_for_sale_in_e-11-54005063-329-1.html
